Date,Open,High,Low,Close,Adj Close,Volume
2017-09-13,432.000000,437.500000,430.850006,435.649994,395.397583,2237308
2017-09-14,438.000000,441.024994,435.649994,440.399994,399.708740,2327652
2017-09-15,440.899994,446.674988,434.149994,443.524994,402.545013,3502380
2017-09-18,445.000000,449.250000,444.500000,448.674988,407.219116,1361938
2017-09-19,449.000000,449.000000,444.625000,446.825012,405.540100,1095726
2017-09-20,447.500000,448.325012,442.500000,444.725006,403.634064,1792966
2017-09-21,445.399994,447.000000,434.524994,435.149994,394.943726,5197522
2017-09-22,435.000000,445.000000,434.799988,442.225006,401.365112,6281534
2017-09-25,440.000000,442.000000,435.049988,437.024994,396.645599,3550896
2017-09-26,439.450012,443.450012,432.149994,436.825012,396.464142,3446850
2017-09-27,437.975006,440.475006,436.049988,437.325012,396.917816,2541882
2017-09-28,437.325012,440.375000,430.825012,437.600006,397.167480,6193068
2017-09-29,438.500000,443.125000,433.350006,437.399994,396.985901,2360270
2017-10-03,439.225006,443.725006,438.375000,441.274994,400.502869,2684244
2017-10-04,441.950012,444.225006,439.000000,443.299988,402.340698,1240900
2017-10-05,444.000000,450.850006,442.575012,446.575012,405.313171,3552176
2017-10-06,443.899994,454.500000,443.899994,453.950012,412.006714,3640948
2017-10-09,453.875000,453.875000,448.725006,451.399994,409.692352,1206462
2017-10-10,452.500000,458.500000,448.549988,449.799988,408.240173,3423160
2017-10-11,449.750000,458.000000,449.750000,454.475006,412.483246,4337494
2017-10-12,456.000000,460.000000,453.149994,458.000000,415.682556,2076624
2017-10-13,459.875000,468.000000,456.950012,463.250000,420.447479,2210684
2017-10-16,463.250000,466.450012,460.000000,461.500000,418.859192,1651154
2017-10-17,459.149994,466.924988,459.149994,461.649994,418.995300,960424
2017-10-18,463.000000,465.500000,458.899994,461.850006,419.176849,1160686
2017-10-19,458.299988,463.000000,458.299988,461.149994,418.541534,58388
2017-10-23,461.399994,471.899994,461.049988,468.625000,425.325836,3597394
2017-10-24,469.500000,469.750000,454.024994,457.274994,415.024536,3155652
2017-10-25,447.200012,462.000000,438.000000,453.524994,411.621033,6147680
2017-10-26,453.375000,455.000000,429.000000,434.524994,394.376495,11565142
2017-10-27,435.024994,435.899994,426.125000,427.475006,387.977875,4592368
2017-10-30,430.000000,431.725006,416.000000,418.174988,379.537231,7251452
2017-10-31,420.000000,430.325012,418.500000,427.899994,388.363647,2958728
2017-11-01,430.000000,430.325012,419.000000,420.325012,382.382202,3257662
2017-11-02,422.200012,430.000000,420.575012,428.950012,390.228607,2965682
2017-11-03,430.000000,430.000000,422.475006,423.575012,385.338837,2761172
2017-11-06,426.000000,427.625000,418.799988,422.524994,384.383545,2273368
2017-11-07,425.000000,440.000000,422.149994,438.375000,398.802826,5960612
2017-11-08,441.000000,442.375000,432.674988,439.299988,399.644379,3821814
2017-11-09,439.750000,444.225006,436.225006,437.975006,398.438965,1600452
2017-11-10,440.475006,440.475006,431.350006,433.524994,394.390686,3070800
2017-11-13,432.250000,439.200012,432.250000,434.750000,395.504974,5322040
2017-11-14,434.000000,442.424988,433.049988,434.899994,395.641449,2012894
2017-11-15,438.500000,438.500000,423.000000,424.174988,385.884674,3122146
2017-11-16,424.850006,429.350006,419.350006,425.950012,387.499420,2181070
2017-11-17,424.450012,428.100006,419.250000,420.000000,382.086517,3096988
2017-11-20,421.500000,424.225006,418.450012,421.075012,383.064514,2260478
2017-11-21,421.549988,423.100006,417.549988,418.850006,381.040375,2987142
2017-11-22,419.274994,422.149994,417.200012,421.075012,383.064514,2269436
2017-11-23,424.000000,428.000000,421.100006,426.850006,388.318146,2332448
2017-11-24,427.500000,431.750000,427.500000,429.200012,390.456085,1646756
2017-11-27,428.750000,431.500000,426.549988,430.350006,391.502258,1592740
2017-11-28,430.500000,432.024994,428.399994,429.625000,390.842712,2108650
2017-11-29,430.000000,431.475006,423.075012,426.575012,388.068024,1523670
2017-11-30,425.000000,428.950012,421.149994,424.000000,385.725464,6822606
2017-12-01,423.500000,424.975006,413.549988,415.000000,377.537842,2768524
2017-12-04,418.000000,424.850006,412.424988,423.975006,385.702698,1793768
2017-12-05,423.950012,426.450012,419.549988,424.000000,385.725464,1980098
2017-12-06,422.750000,430.075012,422.500000,429.299988,390.547058,3179456
2017-12-07,430.075012,433.500000,426.799988,431.750000,392.775940,2450146
2017-12-08,434.850006,436.399994,431.700012,435.225006,395.937164,1739846
2017-12-11,437.250000,441.000000,435.875000,440.000000,400.281158,1597008
2017-12-12,440.500000,440.899994,435.125000,437.600006,398.097839,2921624
2017-12-13,435.000000,436.774994,431.524994,433.174988,394.072144,8609940
2017-12-14,431.500000,442.524994,431.100006,441.424988,401.577454,6365040
2017-12-15,444.450012,448.225006,442.500000,445.899994,405.648499,4469222
2017-12-18,444.049988,445.875000,437.875000,442.500000,402.555420,2615662
2017-12-19,444.500000,444.500000,432.500000,434.725006,395.482361,3971188
2017-12-20,435.000000,437.500000,432.000000,434.924988,395.664246,2109744
2017-12-21,437.000000,446.000000,435.725006,445.125000,404.943512,2859366
2017-12-22,445.500000,446.450012,439.049988,443.450012,403.419739,2104074
2017-12-26,441.049988,446.649994,441.024994,444.225006,404.124725,2127136
2017-12-27,443.000000,445.799988,440.274994,441.825012,401.941437,801620
2017-12-28,441.000000,445.424988,437.799988,439.149994,399.507843,2319726
2017-12-29,439.149994,450.875000,437.500000,445.250000,405.057190,3093850
2018-01-01,444.500000,445.350006,437.975006,439.350006,399.689758,1286288
2018-01-02,438.450012,447.500000,438.424988,446.399994,406.103455,1906518
2018-01-03,446.500000,453.899994,446.500000,448.649994,408.150360,2583906
2018-01-04,448.000000,449.725006,441.524994,446.549988,406.239899,1193460
2018-01-05,444.125000,451.500000,441.149994,450.024994,409.401123,1492292
2018-01-08,450.075012,451.700012,447.549988,450.250000,409.605865,2353168
2018-01-09,450.250000,451.424988,442.500000,446.924988,406.580963,2504270
2018-01-10,446.000000,459.000000,445.549988,457.924988,416.588013,3400572
2018-01-11,459.500000,462.450012,455.024994,458.450012,417.065674,4243446
2018-01-12,459.250000,464.000000,456.125000,462.950012,421.159454,1980698
2018-01-15,462.500000,465.549988,452.750000,454.625000,413.585968,2536486
2018-01-16,457.049988,477.500000,455.000000,474.625000,431.780518,8963404
2018-01-17,475.000000,481.799988,471.649994,476.424988,433.418030,5498922
2018-01-18,476.500000,479.825012,470.250000,477.125000,434.054810,1869500
2018-01-19,478.500000,483.500000,473.075012,479.149994,435.897034,4748438
2018-01-22,480.000000,487.450012,472.500000,483.174988,439.558716,4431318
2018-01-23,484.975006,500.000000,484.274994,497.674988,452.749756,5015202
