"Harapan_Lama_Sekolah,Pengeluaran_Perkapita,Rerata_Lama_Sekolah,Usia_Harapan_Hidup,IPM"
"13.49,8635,7.11,64.79,Normal"
"11.98,8724,6.41,67.33,Normal"
"12.84,12273,8.61,69.93,High"
"12.58,10713,7.51,64.76,Normal"
"13.87,14575,10.83,71.6,High"
"13.18,13041,10.08,66.69,High"
"12.79,13281,8.89,68.12,High"
"14.66,15751,11.82,72.47,Very-High"
"13.4,13820,09.06,72.24,High"
"12.92,11675,8.35,72.46,High"
"13.01,14326,9.14,73.75,High"
"13.99,17327,10.62,75.18,Very-High"
"13.97,14391,9.29,73.78,High"
"13,11287,8.14,71.41,High"
"12.35,11201,7.18,70.62,Normal"
"12.42,10175,6.33,70.56,Normal"
"13.08,13362,7.25,71.95,High"
"14.09,19598,11.48,74.93,Very-High"
"13.9,10377,7.38,66.69,Normal"
"13.95,11334,6.42,67.19,Normal"
"13.85,9962,6.29,66.38,Normal"
"13.9,9450,6.71,66.16,Normal"
"13.07,9167,8.15,67.73,Normal"
"13.53,8899,8.72,66.99,Normal"
"13.39,8495,7.91,66.5,Normal"
"13.64,11548,8.72,68.31,High"
"12.76,9057,06.04,67.36,Normal"
"15.64,14999,9.54,71.88,High"
"15.04,11135,10.65,70.5,High"
"13.2,7554,7.69,67.15,Normal"
"13.12,7307,6.84,67.12,Normal"
"12.83,9354,7.32,65.16,Normal"
"13.86,7476,7.39,64.91,Normal"
"12.58,6839,6.74,66.46,Normal"
"13.32,6324,7.96,67.09,Normal"
"12.28,7431,7.36,64.89,Normal"
"12.24,6751,8.42,61.64,Normal"
"12.43,7257,8.23,67.2,Normal"
"12.92,7578,7.72,65.31,Normal"
"13.43,8021,6.95,67.45,Normal"
"13.79,9027,08.03,65.43,Normal"
"12.71,8819,8.53,68.12,Normal"
"13.69,7133,7.61,67.11,Normal"
"13.19,6503,7.71,64.88,Normal"
"12.29,7410,7.56,67.46,Normal"
"13.04,6061,6.47,68.42,Normal"
"13.07,6355,6.35,68.57,Normal"
"12.49,8254,7.9,67.25,Normal"
"12.26,5780,7.35,68.07,Normal"
"13.15,5256,6.66,60.66,Low"
"12.79,5861,7.1,65.01,Normal"
"16.41,13218,11.6,69.73,High"
"12.65,8974,7.45,70.76,Normal"
"12.63,9828,6.72,69.08,Normal"
"12.1,9193,6.8,73.84,Normal"
"12.43,7431,7.12,73.04,Normal"
"12.65,7758,07.04,71.18,Normal"
"11.59,8328,7.39,71.42,Normal"
"11.81,9209,7.46,71.11,Normal"
"12.04,8708,07.08,71.84,Normal"
"12.08,7168,7.53,72.53,Normal"
"11.89,7462,6.85,72.05,Normal"
"11.17,8415,6.91,72.98,Normal"
"11.84,7920,06.02,68.48,Normal"
"13.87,8630,7,70.69,Normal"
"15.01,14610,10.43,73.12,High"
"12.91,11767,7.9,72.18,High"
"12.74,11182,8.64,69.79,High"
"12.73,13117,8.53,70.68,High"
"12.85,11866,8.15,69.9,High"
"12.93,11148,7.6,68.78,Normal"
"12.66,11492,8.95,67.19,High"
