nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;23609;INDONESIA
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;1083.7;ACEH
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;1768.5;"SUMATERA UTARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;529.2;"SUMATERA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;574.5;RIAU
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;281.9;JAMBI
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;1331.8;"SUMATERA SELATAN"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;370.6;BENGKULU
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;1661.7;LAMPUNG
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;95.1;"KEP. BANGKA BELITUNG"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;148.4;"KEP. RIAU"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;405.7;"DKI JAKARTA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;5457.9;"JAWA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;6557.2;"JAWA TENGAH"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;633.5;"DI YOGYAKARTA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;7155.3;"JAWA TIMUR"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;886.2;BANTEN
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;229.1;BALI
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;1118.6;"NUSA TENGGARA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;1163.6;"NUSA TENGGARA TIMUR"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;584.3;"KALIMANTAN BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;210.3;"KALIMANTAN TENGAH"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;233.5;"KALIMANTAN SELATAN"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;324.8;"KALIMANTAN TIMUR"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;-;"KALIMANTAN UTARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;250.1;"SULAWESI UTARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;557.4;"SULAWESI TENGAH"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;1083.4;"SULAWESI SELATAN"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;465.4;"SULAWESI TENGGARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;241.9;GORONTALO
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;189.9;"SULAWESI BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;404.7;MALUKU
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;109.9;"MALUKU UTARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;266.8;"PAPUA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;793.4;PAPUA
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2007;Tahunan;37168.3;INDONESIA
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;195.8;ACEH
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;761.7;"SUMATERA UTARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;127.3;"SUMATERA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;245.1;RIAU
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;120.1;JAMBI
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;514.7;"SUMATERA SELATAN"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;131.8;BENGKULU
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;365.6;LAMPUNG
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;36.5;"KEP. BANGKA BELITUNG"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;69.2;"KEP. RIAU"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;379.6;"DKI JAKARTA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;2617.4;"JAWA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;2556.5;"JAWA TENGAH"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;324.2;"DI YOGYAKARTA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;2310.6;"JAWA TIMUR"
